,date,avg_equity,avg_debt,avg_hybrid,index_nrml
338,2020-01-30,-3.79,16.15,10.14,3.04
339,2020-01-31,-3.91,16.0,9.98,2.41
340,2020-02-03,-5.96,16.93,8.72,0.23
341,2020-02-04,-4.47,17.0,10.07,2.56
342,2020-02-05,-3.36,16.97,10.8,3.5
343,2020-02-06,-3.37,17.57,11.29,3.92
344,2020-02-07,-2.48,17.78,11.46,3.58
345,2020-02-10,-2.76,17.87,11.08,3.01
346,2020-02-11,-2.29,17.91,11.3,3.66
347,2020-02-12,-2.04,17.91,11.5,4.46
348,2020-02-13,-2.4,18.35,11.42,4.23
349,2020-02-14,-3.15,18.92,11.17,3.71
350,2020-02-17,-3.96,18.91,10.73,3.13
351,2020-02-18,-4.25,18.85,10.56,2.67
352,2020-02-20,-2.18,18.65,11.35,3.43
353,2020-02-24,-3.85,18.99,10.28,1.27
354,2020-02-25,-4.35,18.96,10.09,1.01
355,2020-02-26,-5.4,19.06,9.47,-0.02
356,2020-02-27,-5.83,18.82,9.09,-0.4
357,2020-02-28,-9.12,18.77,6.98,-4.1
358,2020-03-02,-9.84,18.94,6.48,-4.69
359,2020-03-03,-8.32,18.83,7.44,-3.23
360,2020-03-04,-9.24,19.62,6.99,-3.68
361,2020-03-05,-8.48,19.66,7.09,-3.52
362,2020-03-06,-10.35,20.08,5.83,-5.92
363,2020-03-09,-14.13,20.65,3.22,-10.52
364,2020-03-11,-14.75,20.06,2.85,-10.46
365,2020-03-12,-21.23,19.14,-2.53,-17.9
366,2020-03-13,-19.74,18.1,-0.71,-14.77
367,2020-03-16,-25.07,18.75,-4.52,-21.26
368,2020-03-17,-26.76,18.36,-6.04,-23.23
369,2020-03-18,-31.02,18.07,-8.83,-27.5
370,2020-03-19,-33.45,17.0,-10.72,-29.25
371,2020-03-20,-30.03,18.13,-8.32,-25.13
372,2020-03-23,-37.85,17.19,-15.21,-34.85
373,2020-03-24,-37.78,17.51,-14.5,-33.21
374,2020-03-26,-33.69,18.17,-10.3,-26.02
375,2020-03-27,-33.92,19.24,-9.53,-25.86
376,2020-03-30,-35.17,18.69,-11.29,-29.1
377,2020-03-31,-33.03,19.26,-9.36,-26.39
378,2020-04-03,-34.8,18.24,-12.03,-30.79
379,2020-04-07,-31.14,17.56,-8.61,-24.73
380,2020-04-08,-30.12,17.27,-8.62,-25.1
381,2020-04-09,-27.32,17.33,-6.61,-21.99
382,2020-04-13,-27.83,17.58,-6.96,-23.0
383,2020-04-15,-27.69,17.94,-6.86,-23.59
384,2020-04-16,-27.0,18.17,-6.0,-23.01
385,2020-04-17,-25.99,18.76,-4.08,-20.66
386,2020-04-20,-26.5,20.06,-3.93,-20.71
387,2020-04-21,-28.07,20.25,-5.59,-23.11
388,2020-04-22,-27.57,20.19,-4.89,-21.34
389,2020-04-23,-27.04,21.72,-4.04,-20.26
390,2020-04-24,-28.4,20.91,-5.26,-21.63
391,2020-04-27,-27.08,20.89,-4.62,-20.53
392,2020-04-28,-26.53,20.9,-4.25,-19.69
393,2020-04-29,-24.78,20.88,-3.41,-18.21
394,2020-04-30,-24.18,21.0,-2.07,-15.59
395,2020-05-04,-26.06,21.39,-4.83,-20.44
396,2020-05-05,-26.7,21.87,-5.27,-21.19
397,2020-05-06,-26.37,22.34,-4.76,-20.63
398,2020-05-08,-26.6,22.79,-5.23,-20.8
399,2020-05-11,-26.51,21.63,-5.58,-20.9
400,2020-05-12,-26.97,21.58,-5.68,-21.27
401,2020-05-13,-26.36,21.91,-4.45,-19.66
402,2020-05-14,-26.15,22.14,-5.33,-21.73
403,2020-05-15,-26.27,22.14,-5.43,-21.78
404,2020-05-18,-28.24,22.34,-7.41,-24.46
405,2020-05-19,-28.03,22.57,-7.04,-23.98
406,2020-05-20,-26.93,22.56,-5.92,-22.38
407,2020-05-21,-25.81,22.71,-5.66,-22.04
408,2020-05-22,-25.8,23.46,-5.75,-22.61
409,2020-05-26,-25.57,23.52,-5.55,-22.7
410,2020-05-27,-24.84,23.53,-4.34,-20.25
411,2020-05-28,-24.57,23.57,-3.48,-18.75
412,2020-05-29,-23.99,23.41,-2.79,-17.98
413,2020-06-01,-22.41,23.22,-1.58,-15.88
414,2020-06-02,-21.25,23.36,-0.81,-14.57
415,2020-06-03,-21.24,23.36,-0.36,-13.86
416,2020-06-04,-21.19,23.38,-0.4,-14.14
417,2020-06-05,-19.99,23.26,0.66,-13.17
418,2020-06-08,-20.33,23.46,0.87,-12.95
419,2020-06-09,-20.43,23.65,0.29,-13.99
420,2020-06-10,-18.8,23.72,0.54,-13.39
421,2020-06-11,-19.89,23.7,-0.6,-15.23
422,2020-06-12,-19.7,23.61,-0.27,-14.62
423,2020-06-15,-18.94,23.69,-1.05,-15.98
424,2020-06-16,-18.47,23.35,-0.63,-15.12
425,2020-06-17,-17.7,23.41,-0.68,-15.4
426,2020-06-18,-17.04,23.65,0.35,-13.6
427,2020-06-19,-16.5,23.69,1.2,-12.29
428,2020-06-22,-14.64,23.63,1.77,-11.72
429,2020-06-23,-13.76,23.54,2.79,-10.35
430,2020-06-24,-15.12,23.48,1.71,-11.77
431,2020-06-25,-13.95,23.64,1.95,-11.91
432,2020-06-26,-14.16,23.61,2.32,-11.11
433,2020-06-29,-15.03,23.81,1.77,-11.71
434,2020-06-30,-15.1,24.0,1.85,-11.8
435,2020-07-01,-14.24,24.31,2.5,-10.71
436,2020-07-02,-13.89,24.31,3.07,-9.66
437,2020-07-03,-13.67,24.26,3.37,-9.19
438,2020-07-06,-12.79,24.39,4.16,-7.85
439,2020-07-07,-12.72,24.74,4.37,-7.54
440,2020-07-08,-13.11,24.92,4.13,-8.35
441,2020-07-09,-12.4,24.97,4.56,-7.42
442,2020-07-10,-12.11,25.2,4.34,-7.81
443,2020-07-13,-11.02,25.24,4.41,-7.52
444,2020-07-14,-11.52,25.03,3.5,-9.19
445,2020-07-15,-11.56,25.16,3.48,-9.09
446,2020-07-16,-10.89,25.24,4.02,-8.05
447,2020-07-17,-10.02,25.26,5.01,-6.67
448,2020-07-20,-9.31,25.28,5.58,-5.64
449,2020-07-21,-9.34,25.15,6.33,-4.44
450,2020-07-22,-9.22,25.2,6.16,-4.69
451,2020-07-23,-7.78,25.27,6.77,-3.98
452,2020-07-24,-7.62,25.3,6.33,-4.16
453,2020-07-27,-7.41,25.12,5.68,-4.7
454,2020-07-28,-6.51,25.16,6.32,-3.25
455,2020-07-29,-5.86,25.28,6.16,-4.09
456,2020-07-30,-5.99,25.27,5.69,-4.95
457,2020-07-31,-3.5,25.25,6.01,-5.2
458,2020-08-03,-1.67,25.26,5.57,-6.75
459,2020-08-04,-1.76,25.34,6.34,-5.01
460,2020-08-05,-0.48,25.4,6.5,-4.96
461,2020-08-06,0.08,25.07,6.85,-4.11
462,2020-08-07,0.57,24.88,6.95,-3.99
463,2020-08-10,3.2,24.87,7.85,-3.51
464,2020-08-11,2.92,24.91,8.01,-3.06
465,2020-08-12,2.45,24.95,7.94,-3.19
466,2020-08-13,2.4,25.03,8.24,-3.25
467,2020-08-14,1.83,24.68,7.53,-4.3
468,2020-08-17,2.64,24.68,7.96,-3.71
469,2020-08-18,3.56,24.65,8.6,-2.53
470,2020-08-19,4.21,24.54,8.85,-2.33
471,2020-08-20,4.65,24.61,8.73,-3.15
472,2020-08-21,6.7,23.92,9.1,-2.64
473,2020-08-24,8.68,23.1,9.5,-1.83
474,2020-08-25,8.91,23.33,9.65,-1.78
475,2020-08-26,9.14,23.09,9.91,-1.12
476,2020-08-27,8.82,23.2,10.13,-1.04
477,2020-08-28,8.16,23.28,10.47,-0.28
478,2020-08-31,4.08,23.67,8.83,-2.51
479,2020-09-01,4.72,25.29,9.67,-1.8
